,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT",
"# Error text.",,,,,,,,,,,,,
"@@ModTitle","Change Company","Unternehmen wechseln","Cambiar de empresa","Changer d'entreprise","Cambia azienda","会社を変更する","회사 변경","Zmień firmę","Mudar de empresa","Изменить компанию","更改公司","更改公司",
"@@QuitGame","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME","$$Common.ERROR_DIALOG_QUIT_GAME",
"IncompatibleWithEconomyFixes","**@@ModTitle** mod is not compatible with **Economy Fixes** mod.","**@@ModTitle**-Mod ist nicht mit dem Mod **Economy Fixes** kompatibel.","El mod **@@ModTitle** no es compatible con el mod **Economy Fixes**.","Le mod **@@ModTitle** n'est pas compatible avec le mod **Economy Fixes**.","La mod **@@ModTitle** non è compatibile con la mod **Economy Fixes**.","**@@ModTitle** mod は **Economy Fixes** mod と互換性がありません。","**@@ModTitle** 모드는 **Economy Fixes** 모드와 호환되지 않습니다.","Mod **@@ModTitle** nie jest kompatybilny z modem **Economy Fixes**.","O mod **@@ModTitle** não é compatível com o mod **Economy Fixes**.","Мод **@@ModTitle** несовместим с модом **Economy Fixes**.","**@@ModTitle** mod 与 **Economy Fixes** mod 不兼容。","**@@ModTitle** mod 與 **Economy Fixes** mod 不相容。",
"IncompatibleWithEconomyFixes","Please **@@QuitGame** and then unsubscribe the broken **Economy Fixes** mod.","Bitte **@@QuitGame** und melden Sie sich dann vom defekten Mod **Economy Fixes** ab.","Por favor, **@@QuitGame** y luego cancele la suscripción al mod roto **Economy Fixes**.","Veuillez **@@QuitGame** puis vous désabonner du mod **Economy Fixes** cassé.","Per favore **@@QuitGame** e poi annulla l'iscrizione alla mod non funzionante **Economy Fixes**.","**@@QuitGame** を実行してから、壊れた **Economy Fixes** モッドの登録を解除してください。","**@@QuitGame**을 실행한 후, 망가진 **Economy Fixes** 모드를 구독 취소하세요.","Proszę **@@QuitGame** i anulować subskrypcję uszkodzonego moda **Economy Fixes**.","Por favor, **@@QuitGame** e então cancele a inscrição do mod quebrado **Economy Fixes**.","Пожалуйста, **@@QuitGame**, а затем отпишитесь от сломанного мода **Economy Fixes**.","请**@@QuitGame**然后取消订阅损坏的**Economy Fixes**模块。","請**@@QuitGame**然後取消訂閱損壞的**Economy Fixes**模組。",
,,,,,,,,,,,,,
"# Section text.",,,,,,,,,,,,,
"ChangeCompany","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle","@@ModTitle",
"ChangeThis","Change This","Dies ändern","Cambiar esto","Changer ceci","Cambia questo","これを変更","이 항목을 변경하세요","Zmień tę","Alterar isto","Изменить это","更改此项","更改此項",
"ChangeAll","Change All","Alle ändern","Cambiar todo","Tout changer","Cambia tutto","すべて変更","모두 변경","Zmień wszystko","Alterar tudo","Изменить все","全部更改","全部更改",
,,,,,,,,,,,,,
"#Test",,,,,,,,,,,,,
"LockCompany","Lock Company","Firma sperren","Bloquear la empresa","Verrouiller l'entreprise","Blocca l'azienda","会社をロックする","회사 잠금","Zablokuj firmę","Tranque a empresa","Заблокировать компанию","锁定公司","鎖定公司",
"LockAll","Lock All","Alle sperren","Bloquear todo","Tout verrouiller","Bloccare Tutto","すべてロック","모두 잠금","Zablokuj wszystko","Bloquear Tudo","Заблокировать всё","全部上锁","全部上鎖",
"UnlockAll","Unlock All","Alle entsperren","Desbloquear todo","Tout déverrouiller","Sbloccare Tutto","すべてロック解除","모두 잠금 해제","Odblokuj wszystko","Desbloquear Tudo","Разблокировать всё","全部解锁","全部解鎖",
,,,,,,,,,,,,,
"Random","Random","Zufällig","Aleatorio","Aléatoire","Casuale","ランダム","무작위","Losowo","Aleatório","Случайный","随机","隨機",
"Remove","Remove","Entfernen","Eliminar","Supprimer","Rimuovi","削除","제거","Usuń","Remover","Удалить","移除","移除",
,,,,,,,,,,,,,
"# Section tool tips for change company, one for each property type.",,,,,,,,,,,,,
"@@ClickChangeThis","To change this building to the selected company, click **@@ChangeThis**.","Um dieses Gebäude dem ausgewählten Unternehmen zuzuweisen, klicken Sie auf **@@ChangeThis**.","Para cambiar este edificio a la empresa seleccionada, haga clic en **@@ChangeThis**.","Pour modifier ce bâtiment en fonction de l'entreprise sélectionnée, cliquez sur **@@ChangeThis**.","Per sostituire questo edificio con l'azienda selezionata, fare clic su **@@ChangeThis**.","この建物を選択した会社に変更するには、**@@ChangeThis** をクリックします。","이 건물을 선택한 회사로 변경하려면 **@@ChangeThis**를 클릭하세요.","Aby zmienić ten budynek na wybraną firmę, kliknij **@@ChangeThis**.","Para alterar este edifício para a empresa selecionada, clique em **@@ChangeThis**.","Чтобы изменить принадлежность этого здания выбранной компании, нажмите **@@ChangeThis**.","要将此建筑物更改为选定的公司，请单击**@@ChangeThis**。","若要將此建築物變更為選定的公司，請按一下**@@ChangeThis**。",
"SectionTooltipCommercial","Select a commercial company by the resource it **sells**.","Wählen Sie ein Handelsunternehmen anhand der Ressource aus, die es **verkauft**.","Seleccione una empresa comercial por el recurso que **vende**.","Sélectionnez une entreprise commerciale en fonction de la ressource qu'elle **vend**.","Seleziona un'azienda commerciale in base alla risorsa che **vende**.","**販売**しているリソースによって商業会社を選択します。","**판매하는** 리소스를 기준으로 상업 회사를 선택하세요.","Wybierz firmę komercyjną na podstawie zasobu, który **sprzedaje**.","Selecione uma empresa comercial pelo recurso que ela **vende**.","Выберите коммерческую компанию по ресурсу, который она **продает**.","根据商业公司**销售**的资源来选择它。","根據商業公司**銷售**的資源來選擇它。",
"SectionTooltipCommercial","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis",
"SectionTooltipIndustrial","Select an industrial company by the resource it **produces** and the resources it **requires**.","Wählen Sie ein Industrieunternehmen anhand der von ihm **produzierten** und der von ihm **benötigten** Ressourcen aus.","Seleccione una empresa industrial por los recursos que **produce** y los recursos que **necisita**.","Sélectionnez une entreprise industrielle en fonction des ressources qu'elle **produit** et des ressources dont elle **nécessite**.","Seleziona un'azienda industriale in base alle risorse che **produce** e alle risorse di cui **richiede**.","**生産**するリソースと**要求**するリソースによって産業会社を選択します。","산업 기업을 선택할 때는 해당 기업이 **생산하는** 자원과 **필요한** 자원을 기준으로 선택해야 합니다.","Wybierz firmę przemysłową na podstawie zasobów, które **produkuje** i zasobów, których **wymaga**.","Selecione uma empresa industrial pelos recursos que ela **produz** e pelos recursos que ela **requer**.","Выберите промышленную компанию по ресурсам, которые она **производит**, и ресурсам, которые ей **требуются**.","根据工业公司**生产**的资源和**需要**的资源来选择它。","根據工業公司**生產**的資源和**需要**的資源來選擇它。",
"SectionTooltipIndustrial","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis",
"SectionTooltipOffice","Select an office company by the resource it **produces** and the resources it **requires**.","Wählen Sie ein Bürounternehmen anhand der Ressourcen aus, die es **produziert** und der Ressourcen, die es **benötigt**.","Seleccione una empresa de oficinas por los recursos que **produce** y los recursos que **necisita**.","Sélectionnez une entreprise de bureau en fonction des ressources qu'elle **produit** et des ressources dont elle **nécessite**.","Seleziona un'azienda di uffici in base alle risorse che **produce** e alle risorse di cui **richiede**.","オフィス会社は、**生産** するリソースと **要求** するリソースによって選択します。","사무실 회사는 회사가 **생산하는** 자원과 회사가 **필요로 하는** 자원을 기준으로 선택합니다.","Wybierz firmę biurową na podstawie zasobów, które **produkuje** i zasobów, których **wymaga**.","Selecione uma empresa de escritório pelos recursos que ela **produz** e pelos recursos que ela **requer**.","Выберите офисную компанию по ресурсам, которые она **производит**, и ресурсам, которые она **требует**.","根据办公公司**生产**的资源和**需要**的资源来选择办公公司。","根據辦公公司**生產**的資源和**需要**的資源來選擇辦公公司。",
"SectionTooltipOffice","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis",
"SectionTooltipStorage","Select a storage company by the resource it **stores**.","Wählen Sie ein Speicher Unternehmen anhand der Ressource aus, die es **lagert**.","Seleccione una empresa de almacenamiento según el recurso que **almacena**.","Sélectionnez une entreprise de stockage en fonction de la ressource qu'elle **stocke**.","Seleziona un'azienda di stoccaggio in base alle risorse che **negozi**.","**保管**するリソースに応じてストレージ会社を選択します。","저장하는 리소스에 따라 보관 회사를 선택하세요.","Wybierz firmę zajmującą się magazynowaniem na podstawie zasobu, który **przechowuje**.","Selecione uma empresa de armazenamento pelo recurso que ela **armazena**.","Выберите компанию по хранению по ресурсу, который она **хранит**.","根据存储的资源选择存储公司。","根據儲存的資源選擇儲存公司。",
"SectionTooltipStorage","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis","@@ClickChangeThis",
